Search_method Problem Max_evals Num_restarts Run Score
HCR_penalty knapPI_13_200_1000_4 10000 1 6 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 7 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 8 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 9 3602
HCR_penalty knapPI_13_200_1000_4 10000 1 10 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 11 3663
HCR_penalty knapPI_13_200_1000_4 10000 1 12 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 13 3611
HCR_penalty knapPI_13_200_1000_4 10000 1 14 3628
HCR_penalty knapPI_13_200_1000_4 10000 1 15 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 16 3603
HCR_penalty knapPI_13_200_1000_4 10000 1 17 3611
HCR_penalty knapPI_13_200_1000_4 10000 1 18 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 19 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 20 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 21 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 22 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 23 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 24 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 25 3620
HCR_penalty knapPI_13_200_1000_4 10000 1 26 3663
HCR_penalty knapPI_13_200_1000_4 10000 1 27 3628
HCR_penalty knapPI_13_200_1000_4 10000 1 28 3637
HCR_penalty knapPI_13_200_1000_4 10000 1 29 3637
HCR_penalty knapPI_16_200_1000_4 10000 1 0 12284
HCR_penalty knapPI_16_200_1000_4 10000 1 1 10301
HCR_penalty knapPI_16_200_1000_4 10000 1 2 10767
HCR_penalty knapPI_16_200_1000_4 10000 1 3 11694
HCR_penalty knapPI_16_200_1000_4 10000 1 4 11549
HCR_penalty knapPI_16_200_1000_4 10000 1 5 12472
HCR_penalty knapPI_16_200_1000_4 10000 1 6 12072
HCR_penalty knapPI_16_200_1000_4 10000 1 7 11880
HCR_penalty knapPI_16_200_1000_4 10000 1 8 12730
HCR_penalty knapPI_16_200_1000_4 10000 1 9 10714
HCR_penalty knapPI_16_200_1000_4 10000 1 10 11412
HCR_penalty knapPI_16_200_1000_4 10000 1 11 10254
HCR_penalty knapPI_16_200_1000_4 10000 1 12 9284
HCR_penalty knapPI_16_200_1000_4 10000 1 13 11354
HCR_penalty knapPI_16_200_1000_4 10000 1 14 12823
HCR_penalty knapPI_16_200_1000_4 10000 1 15 10529
HCR_penalty knapPI_16_200_1000_4 10000 1 16 10341
HCR_penalty knapPI_16_200_1000_4 10000 1 17 9764
HCR_penalty knapPI_16_200_1000_4 10000 1 18 10125
HCR_penalty knapPI_16_200_1000_4 10000 1 19 10774
HCR_penalty knapPI_16_200_1000_4 10000 1 20 13267
HCR_penalty knapPI_16_200_1000_4 10000 1 21 11859
HCR_penalty knapPI_16_200_1000_4 10000 1 22 11410
HCR_penalty knapPI_16_200_1000_4 10000 1 23 11995
HCR_penalty knapPI_16_200_1000_4 10000 1 24 11636
HCR_penalty knapPI_16_200_1000_4 10000 1 25 11299
HCR_penalty knapPI_16_200_1000_4 10000 1 26 9852
HCR_penalty knapPI_16_200_1000_4 10000 1 27 13101
HCR_penalty knapPI_16_200_1000_4 10000 1 28 11788
HCR_penalty knapPI_16_200_1000_4 10000 1 29 10637
HCR_penalty knapPI_11_20_1000_4 10000 5 0 1320
HCR_penalty knapPI_11_20_1000_4 10000 5 1 1320
HCR_penalty knapPI_11_20_1000_4 10000 5 2 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 3 1320
HCR_penalty knapPI_11_20_1000_4 10000 5 4 1360
HCR_penalty knapPI_11_20_1000_4 10000 5 5 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 6 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 7 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 8 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 9 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 10 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 11 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 12 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 13 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 14 1440
HCR_penalty knapPI_11_20_1000_4 10000 5 15 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 16 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 17 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 18 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 19 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 20 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 21 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 22 1360
HCR_penalty knapPI_11_20_1000_4 10000 5 23 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 24 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 25 1320
HCR_penalty knapPI_11_20_1000_4 10000 5 26 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 27 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 28 1400
HCR_penalty knapPI_11_20_1000_4 10000 5 29 1400
HCR_penalty knapPI_13_20_1000_4 10000 5 0 907
HCR_penalty knapPI_13_20_1000_4 10000 5 1 907
HCR_penalty knapPI_13_20_1000_4 10000 5 2 907
HCR_penalty knapPI_13_20_1000_4 10000 5 3 889
HCR_penalty knapPI_13_20_1000_4 10000 5 4 907
HCR_penalty knapPI_13_20_1000_4 10000 5 5 907
HCR_penalty knapPI_13_20_1000_4 10000 5 6 889
HCR_penalty knapPI_13_20_1000_4 10000 5 7 907
HCR_penalty knapPI_13_20_1000_4 10000 5 8 907
HCR_penalty knapPI_13_20_1000_4 10000 5 9 907
HCR_penalty knapPI_13_20_1000_4 10000 5 10 907
HCR_penalty knapPI_13_20_1000_4 10000 5 11 907
HCR_penalty knapPI_13_20_1000_4 10000 5 12 907
HCR_penalty knapPI_13_20_1000_4 10000 5 13 907
HCR_penalty knapPI_13_20_1000_4 10000 5 14 907
HCR_penalty knapPI_13_20_1000_4 10000 5 15 889
HCR_penalty knapPI_13_20_1000_4 10000 5 16 907
HCR_penalty knapPI_13_20_1000_4 10000 5 17 907
HCR_penalty knapPI_13_20_1000_4 10000 5 18 907
HCR_penalty knapPI_13_20_1000_4 10000 5 19 907
HCR_penalty knapPI_13_20_1000_4 10000 5 20 907
HCR_penalty knapPI_13_20_1000_4 10000 5 21 907
HCR_penalty knapPI_13_20_1000_4 10000 5 22 907
HCR_penalty knapPI_13_20_1000_4 10000 5 23 907
HCR_penalty knapPI_13_20_1000_4 10000 5 24 907
HCR_penalty knapPI_13_20_1000_4 10000 5 25 907
HCR_penalty knapPI_13_20_1000_4 10000 5 26 907
HCR_penalty knapPI_13_20_1000_4 10000 5 27 907
HCR_penalty knapPI_13_20_1000_4 10000 5 28 907
HCR_penalty knapPI_13_20_1000_4 10000 5 29 907
HCR_penalty knapPI_16_20_1000_4 10000 5 0 2682
HCR_penalty knapPI_16_20_1000_4 10000 5 1 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 2 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 3 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 4 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 5 2682
HCR_penalty knapPI_16_20_1000_4 10000 5 6 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 7 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 8 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 9 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 10 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 11 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 12 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 13 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 14 2682
HCR_penalty knapPI_16_20_1000_4 10000 5 15 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 16 2864
HCR_penalty knapPI_16_20_1000_4 10000 5 17 2651
HCR_penalty knapPI_16_20_1000_4 10000 5 18 2682
HCR_penalty knapPI_16_20_1000_4 10000 5 19 2682
HCR_penalty knapPI_16_20_1000_4 10000 5 20 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 21 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 22 2886
HCR_penalty knapPI_16_20_1000_4 10000 5 23 2557
HCR_penalty knapPI_16_20_1000_4 10000 5 24 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 25 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 26 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 27 2893
HCR_penalty knapPI_16_20_1000_4 10000 5 28 2886
HCR_penalty knapPI_16_20_1000_4 10000 5 29 2597
HCR_penalty knapPI_11_200_1000_4 10000 5 0 4820
HCR_penalty knapPI_11_200_1000_4 10000 5 1 4900
HCR_penalty knapPI_11_200_1000_4 10000 5 2 4900
HCR_penalty knapPI_11_200_1000_4 10000 5 3 4780
HCR_penalty knapPI_11_200_1000_4 10000 5 4 4860
HCR_penalty knapPI_11_200_1000_4 10000 5 5 4700
HCR_penalty knapPI_11_200_1000_4 10000 5 6 4660
HCR_penalty knapPI_11_200_1000_4 10000 5 7 4780
HCR_penalty knapPI_11_200_1000_4 10000 5 8 4740
HCR_penalty knapPI_11_200_1000_4 10000 5 9 4900
HCR_penalty knapPI_11_200_1000_4 10000 5 10 4820
HCR_penalty knapPI_11_200_1000_4 10000 5 11 4740
HCR_penalty knapPI_11_200_1000_4 10000 5 12 4820
HCR_penalty knapPI_11_200_1000_4 10000 5 13 4820
HCR_penalty knapPI_11_200_1000_4 10000 5 14 4740
HCR_penalty knapPI_11_200_1000_4 10000 5 15 4660
HCR_penalty knapPI_11_200_1000_4 10000 5 16 4660
HCR_penalty knapPI_11_200_1000_4 10000 5 17 4820
HCR_penalty knapPI_11_200_1000_4 10000 5 18 4660
HCR_penalty knapPI_11_200_1000_4 10000 5 19 4860
